match_name,type,youtube_url,channel,title,youtube_duration_s,local_duration_s,status
KAPAL-API-Indonesia-Open-2025-Anders-Antonsen-DEN-3-vs.-Chou-Tien-Chen-TPE-6-F,singles,https://www.youtube.com/watch?v=PSEgVtdtLJ0,BWF TV,KAPAL API Indonesia Open 2025 | Anders Antonsen (DEN) [3] vs. Chou Tien Chen (TPE) [6] | F,4865.0,4865.1,VERIFIED
KAPAL-API-Indonesia-Open-2025-Chou-Tien-Chen-TPE-6-vs.-Kunlavut-Vitidsarn-THA-2-SF,singles,https://www.youtube.com/watch?v=ISFs9Gku1LA,BWF TV,KAPAL API Indonesia Open 2025 | Chou Tien Chen (TPE) [6] vs. Kunlavut Vitidsarn (THA) [2] | SF,4155.0,4155.1,VERIFIED
KAPAL-API-Indonesia-Open-2025-Shi-Yu-Qi-CHN-1-vs.-Anders-Antonsen-DEN-3-SF,singles,https://www.youtube.com/watch?v=67HGajaYmUM,BWF TV,KAPAL API Indonesia Open 2025 | Shi Yu Qi (CHN) [1] vs. Anders Antonsen (DEN) [3] | SF,4690.0,4690.1,VERIFIED
PETRONAS-Malaysia-Open-2025-Kodai-Naraok-JPN-8-vs.-Anders-Antonsen-DEN-2-SF,singles,https://www.youtube.com/watch?v=Bxhh21Rsk0E,BWF TV,PETRONAS Malaysia Open 2025 | Kodai Naraoka (JPN) [8] vs Anders Antonsen (DEN) [2] | SF,4135.0,4135.1,VERIFIED
PETRONAS-Malaysia-Open-2025-Shi-Yu-Qi-CHN-1-vs.-Anders-Antonsen-DEN-2-F,singles,https://www.youtube.com/watch?v=eKPtHLGFxLE,BWF TV,PETRONAS Malaysia Open 2025 | Shi Yu Qi (CHN) [1] vs Anders Antonsen (DEN) [2] | F,3215.0,3215.1,VERIFIED
PETRONAS-Malaysia-Open-2025-Shi-Yu-Qi-CHN-1-vs.-Li-Shi-Feng-CHN-7-SF,singles,https://www.youtube.com/watch?v=TDn26B6iAjg,BWF TV,PETRONAS Malaysia Open 2025 | Shi Yu Qi (CHN) [1] vs Li Shi Feng (CHN) [7] | SF,4490.0,4490.1,VERIFIED
VICTOR-China-Open-2025-Chou-Tien-Chen-TPE-6-vs.-Shi-Yu-Qi-CHN-3-SF,singles,https://www.youtube.com/watch?v=_lcVkJifJnA,BWF TV,VICTOR China Open 2025 | Chou Tien Chen (TPE) [6] vs. Shi Yu Qi (CHN) [3] | SF,3420.0,3420.1,VERIFIED
VICTOR-China-Open-2025-Shi-Yu-Qi-CHN-3-vs.-Wang-Zheng-Xing-CHN-F,singles,https://www.youtube.com/watch?v=voPcKnC2KgY,BWF TV,VICTOR China Open 2025 | Shi Yu Qi (CHN) [3] vs. Wang Zheng Xing (CHN) | F,4965.0,4965.1,VERIFIED
VICTOR-China-Open-2025-Wang-Zheng-Xing-CHN-vs.-Anders-Antonsen-DEN-2-SF,singles,https://www.youtube.com/watch?v=y-YPKEW5VUs,BWF TV,VICTOR China Open 2025 | Wang Zheng Xing (CHN) vs. Anders Antonsen (DEN) [2] | SF,3665.0,3665.1,VERIFIED
YONEX-All-England-Open-2025-Lee-Chia-Hao-TPE-vs.-Alex-Lanier-FRA-SF,singles,https://www.youtube.com/watch?v=L7fSFiWnwRk,BWF TV,YONEX All England Open 2025 | Lee Chia Hao (TPE) vs. Alex Lanier (FRA) | SF,4805.0,4805.1,VERIFIED
YONEX-All-England-Open-2025-Shi-Yu-Qi-CHN-1-vs.-Lee-Chia-Hao-TPE-F,singles,https://www.youtube.com/watch?v=rie6e0WhOB8,BWF TV,YONEX All England Open 2025 | Shi Yu Qi (CHN) [1] vs. Lee Chia Hao (TPE) | F,4430.0,4430.1,VERIFIED
YONEX-All-England-Open-2025-Shi-Yu-Qi-CHN-1-vs.-Li-Shi-Feng-CHN-6-SF,singles,https://www.youtube.com/watch?v=wNAPckJigDo,BWF TV,YONEX All England Open 2025 | Shi Yu Qi (CHN) [1] vs. Li Shi Feng (CHN) [6] | SF,5320.0,5320.1,VERIFIED
PETRONAS-Malaysia-Open-2023-Rankireddy-Shetty-IND-7-vs.-Liu-Ou-CHN-QF,doubles,https://www.youtube.com/watch?v=UCQcM2EuI24,BWF TV,PETRONAS Malaysia Open 2023 | Rankireddy/Shetty (IND) [7] vs. Liu/Ou (CHN) | QF,4793.0,4792.8,VERIFIED
PETRONAS-Malaysia-Open-2024-Liang-Wang -CHN-1-vs.-Rankireddy-Shetty-IND-2-F,doubles,https://www.youtube.com/watch?v=Bdh0AIT4z-A,BWF TV,PETRONAS Malaysia Open 2024 | Liang/Wang (CHN) [1] vs. Rankireddy/Shetty (IND) [2] | F,4465.0,4465.0,VERIFIED
VICTOR-China-Open-2024-Fikri-Marthin-INA-vs.-Goh-Izzuddin-MAS-7-SF,doubles,https://www.youtube.com/watch?v=Odghx3xGeVs,BWF TV,VICTOR China Open 2024 | Fikri/Marthin (INA) vs. Goh/Izzuddin (MAS) [7] | SF,3160.0,3160.0,VERIFIED
